"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",2.8700666680904,-3.70777443347905,1.70456044702502,-2.17520853540292,0.029614492853966,0.14145808848686
"Sox17",25.9255394035452,-0.0754650602255422,0.574876457207347,-0.131271787667456,0.89556030881705,0.95743713665238
"Mrpl15",1145.44666831142,0.0792105449884627,0.161203882753901,0.491368716654228,0.623165686081671,0.818374900542538
"Lypla1",2142.80105902316,0.267197301461878,0.157504697302134,1.69644020806139,0.0898025445464354,0.287726145383203
"Tcea1",1140.34333284708,-0.145028163150963,0.184863509620226,-0.784514820955749,0.432738088874917,0.691485721595588
"Rgs20",1.42947705761577,-3.76586869730165,2.19454537392376,-1.71601313969117,0.0861596375249489,NA
"Atp6v1h",1408.84808971774,0.204098799829315,0.152733789646121,1.33630416885619,0.181449874463939,0.438206479479478
"Rb1cc1",697.075694837014,-0.0586676266945058,0.197848041217425,-0.296528721404085,0.766826336191398,0.897076294443597
"St18",1.6269160034678,-3.94755772730386,2.20867902405965,-1.78729352898371,0.0738900593610275,NA
"Pcmtd1",1183.00517111537,0.560362072893515,0.216475925167091,2.58856532180651,0.00963766658874735,0.0646123919181209
"Sntg1",5.36295085563196,6.0812365937257,1.49280575314155,4.07369584483981,4.62729051135442e-05,0.000987819952104443
"Rrs1",456.782568966598,-0.17484726325439,0.153398888881463,-1.13982092392795,0.254360914622626,0.527943219415383
"Adhfe1",1771.22031262826,0.49557515519318,0.19702273714375,2.51531961426159,0.0118924517309887,0.0752682176295657
"2610203C22Rik",8.81361414685809,-1.0837952022933,0.945631500005209,-1.14610733915624,0.251750741261371,0.525053529928663
"3110035E14Rik",1.95943887375734,-0.0623058125434389,1.58353610396585,-0.0393460006294763,0.968614531791769,NA
"Mybl1",29.1973586481611,-2.01059822750475,0.635142585625129,-3.16558560708986,0.00154771111577961,0.0164710856299301
"Vcpip1",790.546414690605,-0.031055281184053,0.175614168043583,-0.176838130602001,0.859635537137125,0.941345283820996
"1700034P13Rik",13.9887674976993,0.762389137524656,0.552608241527551,1.37961955727844,0.167703812592082,0.41874664587214
"Sgk3",381.508419463515,-0.76790963188608,0.176189108718957,-4.35843984608032,1.30992915511836e-05,0.000342177312210646
"Mcmdc2",0.569014633980866,2.84676974968825,3.54794537592567,0.802371358083697,0.422338176045158,NA
"Snhg6",93.3004696483892,0.239731938719783,0.281906347824416,0.850395674201344,0.395105140344027,0.661208567422555
"Tcf24",8.52325581457498,-2.45406970010585,1.00879753177716,-2.43266822410104,0.0149880273811799,0.0889805741262031
"Ppp1r42",0.837836741223792,0.968688045107231,2.30173411154613,0.42085140948645,0.673863588756189,NA
"Cops5",1334.81508918734,0.191355388767552,0.148975318832815,1.28447712189358,0.198975063517828,0.461523205934878
"Cspp1",124.704098120218,0.220871154046516,0.230414580968027,0.958581497397359,0.337769617312537,0.611946543748956
"Arfgef1",1709.18304166501,0.161291682636943,0.174276095739505,0.925495157282099,0.354708401565457,0.625039558318142
"Prex2",138.930182852585,-0.230673090772407,0.369407356789787,-0.624440976966447,0.532338021261341,0.763004088186362
"Sulf1",27.5902376162445,0.277812676202189,0.430924682982976,0.644689634112151,0.519128335148845,0.754156210238848
"Slco5a1",0.857079580406156,-3.02805510892892,2.48238900329502,-1.21981490608829,0.22253504938732,NA
"Prdm14",1.03214578127889,-2.05118912598784,2.12118150547276,-0.967003116280085,0.333542475819692,NA
"Ncoa2",1066.98047957367,0.198732355973283,0.187841638708957,1.05797818491777,0.290065388097953,0.567297771685719
"Tram1",3360.3850251169,0.151438465245675,0.212018727078008,0.714269288061316,0.475060679311735,0.722170815310516
"Lactb2",2487.31543083281,0.868641699232046,0.192097655257955,4.52187559533513,6.12940816391243e-06,0.000178261552815647
"Xkr9",243.989878161442,0.637528811081583,0.283185606912384,2.25127547276381,0.0243680952768845,0.124087256781774
"Gm5523",1.13424712583374,0.00515536976551496,1.84717531934316,0.00279094773058584,0.997773148786727,NA
